,SurveyYear,Method,Handle,Group,Season,OT,N,Nbackyard,Nsideline,Ncommercial,PtBkExclusiveToState,TotalColStart,PColExclusiveToState,TotalColAtRisk,TotalColLost,TotalColAlive,TotalLoss_b.CI,AverageLoss_b.CI
215,2024-2025,MSO out,CT,Connecticut,Summer,All,88,88,0,0,100,336,100,555,155,400,27.93 [22.52-33.61],26.89 [21.25-32.51]
216,2024-2025,MSO out,DC,District of Columbia,Summer,All,20,20,0,0,100,98,100,139,35,104,25.18 [16.66-32.69],17.72 [8.23-27.28]
217,2024-2025,MSO out,DE,Delaware,Summer,All,4,4,0,0,100,37,100,65,[R],[R],[R],[R]
218,2024-2025,MSO out,FL,Florida,Summer,All,46,45,1,0,100,370,100,547,134,413,24.5 [15.51-35.68],24.76 [18.68-31.75]
219,2024-2025,MSO out,GA,Georgia,Summer,All,69,64,3,2,100,10206,100,11221,2025,9196,18.05 [2.61-57.22],32.33 [26.81-38.16]
220,2024-2025,MSO out,IA,Iowa,Summer,All,21,20,1,0,100,108,100,198,37,161,18.69 [8.22-36],24.26 [14.65-34.53]
221,2024-2025,MSO out,ID,Idaho,Summer,All,9,9,0,0,100,49,100,68,[R],[R],[R],[R]
222,2024-2025,MSO out,IL,Illinois,Summer,All,16,16,0,0,100,102,100,180,34,146,18.89 [9.46-33.05],24.33 [12.13-37.22]
223,2024-2025,MSO out,IN,Indiana,Summer,All,58,55,3,0,100,732,100,1023,102,921,9.97 [4.66-19.49],14.7 [10-20.19]
224,2024-2025,MSO out,KS,Kansas,Summer,All,13,13,0,0,100,92,100,150,41,109,27.33 [17.42-38.2],24.39 [13.12-36.75]
225,2024-2025,MSO out,KY,Kentucky,Summer,All,152,145,7,0,100,1416,100,2073,436,1637,21.03 [16.08-26.89],22.76 [19.04-26.84]
226,2024-2025,MSO out,LA,Louisiana,Summer,All,10,7,2,1,100,1302,100,1801,234,1567,12.99 [6.51-21.81],16.3 [7.09-26.91]
227,2024-2025,MSO out,MA,Massachusetts,Summer,All,31,31,0,0,100,104,100,168,40,128,23.81 [14.37-34.07],26.04 [15.63-36.27]
228,2024-2025,MSO out,MD,Maryland,Summer,All,51,48,3,0,100,561,100,788,129,659,16.37 [10.08-24],22.94 [17.43-28.86]
229,2024-2025,MSO out,ME,Maine,Summer,All,22,21,1,0,100,100,100,179,33,146,18.44 [8.93-32.12],24.08 [16.03-32]
230,2024-2025,MSO out,MI,Michigan,Summer,All,187,179,8,0,100,1364,100,2335,540,1795,23.13 [18.61-27.73],24.88 [21.41-28.66]
231,2024-2025,MSO out,MN,Minnesota,Summer,All,15,15,0,0,100,79,100,124,33,91,26.61 [12.16-43.25],31.34 [18.44-44.21]
232,2024-2025,MSO out,MO,Missouri,Summer,All,21,21,0,0,100,192,100,266,51,215,19.17 [11.06-26.69],17.89 [9.38-27.21]
233,2024-2025,MSO out,MS,Mississippi,Summer,All,7,6,1,0,100,151,100,176,[R],[R],[R],[R]
234,2024-2025,MSO out,MT,Montana,Summer,All,4,4,0,0,100,9,100,17,[R],[R],[R],[R]
235,2024-2025,MSO out,NC,North Carolina,Summer,All,71,69,2,0,100,605,100,821,172,649,20.95 [15.29-28.09],26.79 [20.18-33.81]
236,2024-2025,MSO out,NCUSA,Non Continental USA,Summer,All,1,1,0,0,100,5,100,6,[R],[R],[R],[R]
237,2024-2025,MSO out,ND,North Dakota,Summer,All,13,13,0,0,100,40,100,87,26,61,29.89 [17.07-38.02],23.34 [12.52-34.48]
238,2024-2025,MSO out,NE,Nebraska,Summer,All,13,12,1,0,100,98,100,199,53,146,26.63 [4.99-53.25],21.12 [8.3-34.6]
239,2024-2025,MSO out,NH,New Hampshire,Summer,All,11,11,0,0,100,54,100,88,4,84,4.55 [0-12.13],8.18 [0-19.39]
240,2024-2025,MSO out,NJ,New Jersey,Summer,All,18,18,0,0,100,107,100,168,57,111,33.93 [24.15-47.91],37.73 [26.64-49.32]
241,2024-2025,MSO out,NM,New Mexico,Summer,All,12,12,0,0,100,46,100,70,13,57,18.57 [8.32-29.63],15.04 [6.15-24.62]
242,2024-2025,MSO out,NV,Nevada,Summer,All,10,10,0,0,100,60,100,134,84,50,62.69 [33.86-74.38],43.43 [21.91-64.64]
243,2024-2025,MSO out,NY,New York,Summer,All,67,64,2,1,100,1332,100,2097,692,1405,33 [13.34-40.54],19.9 [14.85-25.4]
244,2024-2025,MSO out,OH,Ohio,Summer,All,45,45,0,0,100,262,100,431,68,363,15.78 [10.45-22.3],18.42 [12.88-25.55]
245,2024-2025,MSO out,OK,Oklahoma,Summer,All,5,5,0,0,100,44,100,79,[R],[R],[R],[R]
246,2024-2025,MSO out,OR,Oregon,Summer,All,43,43,0,0,100,190,100,329,73,256,22.19 [11.95-31.16],19.31 [13.02-25.33]
247,2024-2025,MSO out,PA,Pennsylvania,Summer,All,76,76,0,0,100,534,100,856,229,627,26.75 [16.9-37.75],17.7 [13.05-22.56]
248,2024-2025,MSO out,RI,Rhode Island,Summer,All,5,5,0,0,100,22,100,48,[R],[R],[R],[R]
249,2024-2025,MSO out,SC,South Carolina,Summer,All,9,9,0,0,100,131,100,156,[R],[R],[R],[R]
250,2024-2025,MSO out,SD,South Dakota,Summer,All,11,11,0,0,100,63,100,93,35,58,37.63 [11.11-56.82],20.63 [7.27-35.26]
251,2024-2025,MSO out,TN,Tennessee,Summer,All,20,19,1,0,100,212,100,417,45,372,10.79 [3.84-35.54],28.98 [19.16-39.3]
252,2024-2025,MSO out,TX,Texas,Summer,All,445,432,13,0,100,5093,100,7132,2157,4975,30.24 [24.55-37.09],23.61 [21.26-26.25]
253,2024-2025,MSO out,UT,Utah,Summer,All,26,25,1,0,100,112,100,318,78,240,24.53 [8.76-46.19],24.82 [15.23-33.99]
254,2024-2025,MSO out,VA,Virginia,Summer,All,46,45,1,0,100,530,100,735,158,577,21.5 [14.91-35.34],24.61 [17.4-32.17]
255,2024-2025,MSO out,VT,Vermont,Summer,All,47,43,3,1,100,775,100,1737,464,1273,26.71 [6.43-48.95],20.74 [12.87-29.19]
256,2024-2025,MSO out,WA,Washington,Summer,All,23,23,0,0,100,96,100,162,38,124,23.46 [13.16-32.88],24.73 [14.48-36.49]
257,2024-2025,MSO out,WI,Wisconsin,Summer,All,40,38,2,0,100,644,100,1287,729,558,56.64 [16.67-70.84],21.03 [13.98-28.04]
258,2024-2025,MSO out,WV,West Virginia,Summer,All,0,0,0,0,NULL,0,NULL,NULL,[R],[R],[R],[R]
259,2024-2025,MSO out,WY,Wyoming,Summer,All,0,0,0,0,NULL,0,NULL,NULL,[R],[R],[R],[R]
260,2024-2025,MSO out,MSO,MultiStates,Summer,All,60,33,7,20,0,93113,0,195317,57700,137617,29.54 [19.05-39.26],22.2 [17.17-27.52]
261,2024-2025,MSO out,AK,Alaska,Winter,All,1,1,0,0,100,1,100,1,[R],[R],[R],[R]
262,2024-2025,MSO out,AL,Alabama,Winter,All,61,58,3,0,100,1060,100,1238,374,864,30.21 [19.34-38.89],27.7 [21.56-34.43]
263,2024-2025,MSO out,AR,Arkansas,Winter,All,12,12,0,0,100,119,100,143,42,101,29.37 [18.78-43.93],33.63 [14.28-54.39]
264,2024-2025,MSO out,AZ,Arizona,Winter,All,10,9,1,0,100,167,100,252,191,61,75.79 [10.26-85.1],24.63 [10-42.13]
265,2024-2025,MSO out,CA,California,Winter,All,40,38,0,2,100,2979,100,3221,1891,1330,58.71 [14.34-78.94],29.24 [18.55-40.44]
266,2024-2025,MSO out,CO,Colorado,Winter,All,36,35,1,0,100,232,100,237,108,129,45.57 [19.81-61.71],34.14 [21.83-48.26]
267,2024-2025,MSO out,CT,Connecticut,Winter,All,103,103,0,0,100,485,100,511,297,214,58.12 [49.21-66.92],60.61 [53.45-67.54]
268,2024-2025,MSO out,DC,District of Columbia,Winter,All,21,21,0,0,100,106,100,113,33,80,29.2 [18.42-44.31],26.97 [16.27-38.5]
269,2024-2025,MSO out,DE,Delaware,Winter,All,4,4,0,0,100,57,100,59,[R],[R],[R],[R]
270,2024-2025,MSO out,FL,Florida,Winter,All,45,41,3,1,100,1834,100,1714,480,1234,28 [17.29-61.78],25.73 [17.61-34.78]
271,2024-2025,MSO out,GA,Georgia,Winter,All,71,66,3,2,100,9316,100,10004,2052,7952,20.51 [18.98-42.17],39.94 [32.35-48.35]
272,2024-2025,MSO out,IA,Iowa,Winter,All,26,25,1,0,100,212,100,216,102,114,47.22 [33.6-62.31],42.15 [29.49-55.15]
273,2024-2025,MSO out,ID,Idaho,Winter,All,11,11,0,0,100,85,100,96,54,42,56.25 [36.73-71.25],58.21 [38.18-77.69]
274,2024-2025,MSO out,IL,Illinois,Winter,All,21,20,1,0,100,280,100,289,121,168,41.87 [34.97-50.63],43.47 [29.21-58.34]
275,2024-2025,MSO out,IN,Indiana,Winter,All,75,71,4,0,100,1128,100,1185,306,879,25.82 [17.27-39.72],37.09 [29.27-44.96]
276,2024-2025,MSO out,KS,Kansas,Winter,All,18,18,0,0,100,186,100,193,34,159,17.62 [8.98-26.88],25.2 [11.42-41.05]
277,2024-2025,MSO out,KY,Kentucky,Winter,All,189,181,8,0,100,2328,100,2626,861,1765,32.79 [24.6-41.78],28.06 [23.73-32.96]
278,2024-2025,MSO out,LA,Louisiana,Winter,All,13,9,2,2,100,8885,100,8911,2883,6028,32.35 [22.97-51.18],29.08 [19.93-39.31]
279,2024-2025,MSO out,MA,Massachusetts,Winter,All,35,35,0,0,100,180,100,189,63,126,33.33 [21.95-46.48],36.9 [26.53-48.19]
280,2024-2025,MSO out,MD,Maryland,Winter,All,54,51,3,0,100,684,100,710,170,540,23.94 [15.58-33.56],28.92 [21.72-36.87]
281,2024-2025,MSO out,ME,Maine,Winter,All,31,29,2,0,100,254,100,258,128,130,49.61 [30.15-63.35],45.41 [33.14-58.01]
282,2024-2025,MSO out,MI,Michigan,Winter,All,239,225,14,0,100,2745,100,2856,1499,1357,52.49 [45-60.3],53.93 [49.44-58.47]
283,2024-2025,MSO out,MN,Minnesota,Winter,All,20,19,1,0,100,359,100,365,122,243,33.42 [28.43-66.13],57.58 [42.05-73.78]
284,2024-2025,MSO out,MO,Missouri,Winter,All,25,24,1,0,100,383,100,393,130,263,33.08 [24.23-48.76],33.84 [21.82-46.46]
285,2024-2025,MSO out,MS,Mississippi,Winter,All,7,6,1,0,100,142,100,153,[R],[R],[R],[R]
286,2024-2025,MSO out,MT,Montana,Winter,All,5,5,0,0,100,14,100,16,[R],[R],[R],[R]
287,2024-2025,MSO out,NC,North Carolina,Winter,All,76,72,4,0,100,941,100,1140,331,809,29.04 [17.6-43.34],30.91 [23.49-38.31]
288,2024-2025,MSO out,NCUSA,Non Continental USA,Winter,All,1,1,0,0,100,6,100,6,[R],[R],[R],[R]
289,2024-2025,MSO out,ND,North Dakota,Winter,All,27,27,0,0,100,107,100,109,65,44,59.63 [38.66-76.93],52.84 [35.87-67.25]
290,2024-2025,MSO out,NE,Nebraska,Winter,All,15,14,1,0,100,158,100,163,77,86,47.24 [30.26-61.74],38.87 [21.7-56.56]
291,2024-2025,MSO out,NH,New Hampshire,Winter,All,16,16,0,0,100,104,100,104,31,73,29.81 [16.91-51.57],45.12 [26.11-65.03]
292,2024-2025,MSO out,NJ,New Jersey,Winter,All,26,24,2,0,100,295,100,308,84,224,27.27 [15.98-40.87],25.25 [13.44-37.03]
293,2024-2025,MSO out,NM,New Mexico,Winter,All,12,12,0,0,100,60,100,74,30,44,40.54 [19.66-54.9],36.29 [15.97-56.99]
294,2024-2025,MSO out,NV,Nevada,Winter,All,11,11,0,0,100,51,100,69,47,22,68.12 [52.27-82.05],67.46 [49.91-82.01]
295,2024-2025,MSO out,NY,New York,Winter,All,86,81,5,0,100,1347,100,1366,501,865,36.68 [28.36-49.02],46.53 [39.47-53.7]
296,2024-2025,MSO out,OH,Ohio,Winter,All,56,56,0,0,100,488,100,501,210,291,41.92 [29.14-54.11],36.28 [26.85-45.84]
297,2024-2025,MSO out,OK,Oklahoma,Winter,All,8,8,0,0,100,103,100,108,[R],[R],[R],[R]
298,2024-2025,MSO out,OR,Oregon,Winter,All,50,50,0,0,100,290,100,304,69,235,22.7 [16.4-30.14],27.86 [19.4-36.88]
299,2024-2025,MSO out,PA,Pennsylvania,Winter,All,102,101,1,0,100,912,100,928,302,626,32.54 [25.26-39.85],37.05 [30.83-44.03]
300,2024-2025,MSO out,RI,Rhode Island,Winter,All,6,6,0,0,100,44,100,44,[R],[R],[R],[R]
301,2024-2025,MSO out,SC,South Carolina,Winter,All,9,9,0,0,100,74,100,81,[R],[R],[R],[R]
302,2024-2025,MSO out,SD,South Dakota,Winter,All,13,13,0,0,100,68,100,83,41,42,49.4 [29.46-69.87],48.87 [32.21-66.71]
303,2024-2025,MSO out,TN,Tennessee,Winter,All,19,18,1,0,100,377,100,380,118,262,31.05 [15.92-36.15],27.71 [14.03-43.26]
304,2024-2025,MSO out,TX,Texas,Winter,All,456,439,17,0,100,5486,100,6078,1668,4410,27.44 [23.37-32.43],28.65 [25.66-31.34]
305,2024-2025,MSO out,UT,Utah,Winter,All,37,36,1,0,100,305,100,322,179,143,55.59 [30.09-73.6],48.04 [34.89-61.67]
306,2024-2025,MSO out,VA,Virginia,Winter,All,51,49,2,0,100,810,100,830,123,707,14.82 [8.95-26.91],25.01 [17.39-33.49]
307,2024-2025,MSO out,VT,Vermont,Winter,All,56,52,3,1,100,1358,100,1365,527,838,38.61 [27.78-47.55],54.42 [43.37-64.61]
308,2024-2025,MSO out,WA,Washington,Winter,All,26,26,0,0,100,153,100,153,77,76,50.33 [34.27-68.45],44.31 [29.68-58.9]
309,2024-2025,MSO out,WI,Wisconsin,Winter,All,44,41,3,0,100,750,100,764,585,179,76.57 [57.39-85.83],63.9 [52.44-74.6]
310,2024-2025,MSO out,WV,West Virginia,Winter,All,0,0,0,0,NULL,0,NULL,NULL,[R],[R],[R],[R]
311,2024-2025,MSO out,WY,Wyoming,Winter,All,2,1,0,1,100,1708,100,1708,[R],[R],[R],[R]
312,2024-2025,MSO out,MSO,MultiStates,Winter,All,75,39,9,27,0,168881,0,187516,77982,109534,41.59 [33.18-50.05],38.84 [32.91-44.73]
313,2024-2025,MSO only,AK,Alaska,Annual,All,0,0,0,0,NULL,0,NULL,NULL,[R],[R],[R],[R]
314,2024-2025,MSO only,AL,Alabama,Annual,All,3,2,0,1,0,8010,0,15960,[R],[R],[R],[R]
315,2024-2025,MSO only,AR,Arkansas,Annual,All,0,0,0,0,NULL,0,NULL,NULL,[R],[R],[R],[R]
316,2024-2025,MSO only,AZ,Arizona,Annual,All,1,1,0,0,0,12,0,26,[R],[R],[R],[R]
317,2024-2025,MSO only,CA,California,Annual,All,19,2,4,13,0,79678,0,188965,109007,79958,57.69 [48.44-64.04],47.2 [37.62-57.09]
318,2024-2025,MSO only,CO,Colorado,Annual,All,2,1,1,0,0,126,0,150,[R],[R],[R],[R]
319,2024-2025,MSO only,CT,Connecticut,Annual,All,3,3,0,0,0,19,0,26,[R],[R],[R],[R]
320,2024-2025,MSO only,DC,District of Columbia,Annual,All,3,3,0,0,0,51,0,79,[R],[R],[R],[R]
321,2024-2025,MSO only,DE,Delaware,Annual,All,1,0,0,1,0,436,0,636,[R],[R],[R],[R]
322,2024-2025,MSO only,FL,Florida,Annual,All,3,1,0,2,0,9307,0,18207,[R],[R],[R],[R]
323,2024-2025,MSO only,GA,Georgia,Annual,All,4,3,0,1,0,8018,0,15973,[R],[R],[R],[R]
324,2024-2025,MSO only,IA,Iowa,Annual,All,1,0,0,1,0,1877,0,9784,[R],[R],[R],[R]
325,2024-2025,MSO only,ID,Idaho,Annual,All,3,0,0,3,0,23700,0,62934,[R],[R],[R],[R]
326,2024-2025,MSO only,IL,Illinois,Annual,All,0,0,0,0,NULL,0,NULL,NULL,[R],[R],[R],[R]
327,2024-2025,MSO only,IN,Indiana,Annual,All,0,0,0,0,NULL,0,NULL,NULL,[R],[R],[R],[R]
328,2024-2025,MSO only,KS,Kansas,Annual,All,2,1,0,1,0,2336,0,2103,[R],[R],[R],[R]
329,2024-2025,MSO only,KY,Kentucky,Annual,All,2,2,0,0,0,10,0,17,[R],[R],[R],[R]
330,2024-2025,MSO only,LA,Louisiana,Annual,All,0,0,0,0,NULL,0,NULL,NULL,[R],[R],[R],[R]
331,2024-2025,MSO only,MA,Massachusetts,Annual,All,2,1,0,1,0,733,0,1021,[R],[R],[R],[R]
332,2024-2025,MSO only,MD,Maryland,Annual,All,5,4,0,1,0,503,0,741,[R],[R],[R],[R]
333,2024-2025,MSO only,ME,Maine,Annual,All,4,2,1,1,0,832,0,1160,[R],[R],[R],[R]
334,2024-2025,MSO only,MI,Michigan,Annual,All,7,5,1,1,0,8212,0,16246,[R],[R],[R],[R]
335,2024-2025,MSO only,MN,Minnesota,Annual,All,3,1,1,1,0,1439,0,2540,[R],[R],[R],[R]
336,2024-2025,MSO only,MO,Missouri,Annual,All,2,1,0,1,0,2336,0,2103,[R],[R],[R],[R]
337,2024-2025,MSO only,MS,Mississippi,Annual,All,4,0,0,4,0,16950,0,32070,[R],[R],[R],[R]
338,2024-2025,MSO only,MT,Montana,Annual,All,1,0,0,1,0,6500,0,11500,[R],[R],[R],[R]
339,2024-2025,MSO only,NC,North Carolina,Annual,All,2,2,0,0,0,15,0,20,[R],[R],[R],[R]
340,2024-2025,MSO only,NCUSA,Non Continental USA,Annual,All,1,1,0,0,0,2,0,4,[R],[R],[R],[R]
341,2024-2025,MSO only,ND,North Dakota,Annual,All,11,0,1,10,0,66207,0,154960,89522,65438,57.77 [47.25-65.38],46.06 [36.34-55.44]
342,2024-2025,MSO only,NE,Nebraska,Annual,All,1,0,0,1,0,1877,0,9784,[R],[R],[R],[R]
343,2024-2025,MSO only,NH,New Hampshire,Annual,All,2,0,1,1,0,796,0,1116,[R],[R],[R],[R]
344,2024-2025,MSO only,NJ,New Jersey,Annual,All,1,1,0,0,0,25,0,29,[R],[R],[R],[R]
345,2024-2025,MSO only,NM,New Mexico,Annual,All,1,1,0,0,0,2,0,4,[R],[R],[R],[R]
346,2024-2025,MSO only,NV,Nevada,Annual,All,0,0,0,0,NULL,0,NULL,NULL,[R],[R],[R],[R]
347,2024-2025,MSO only,NY,New York,Annual,All,5,3,1,1,0,8288,0,16396,[R],[R],[R],[R]
348,2024-2025,MSO only,OH,Ohio,Annual,All,3,3,0,0,0,29,0,35,[R],[R],[R],[R]
349,2024-2025,MSO only,OK,Oklahoma,Annual,All,0,0,0,0,NULL,0,NULL,NULL,[R],[R],[R],[R]
350,2024-2025,MSO only,OR,Oregon,Annual,All,3,1,1,1,0,9196,0,32056,[R],[R],[R],[R]
351,2024-2025,MSO only,PA,Pennsylvania,Annual,All,2,2,0,0,0,18,0,29,[R],[R],[R],[R]
352,2024-2025,MSO only,RI,Rhode Island,Annual,All,1,0,0,1,0,723,0,1007,[R],[R],[R],[R]
353,2024-2025,MSO only,SC,South Carolina,Annual,All,0,0,0,0,NULL,0,NULL,NULL,[R],[R],[R],[R]
354,2024-2025,MSO only,SD,South Dakota,Annual,All,6,0,0,6,0,33865,0,78539,[R],[R],[R],[R]
355,2024-2025,MSO only,TN,Tennessee,Annual,All,0,0,0,0,NULL,0,NULL,NULL,[R],[R],[R],[R]
356,2024-2025,MSO only,TX,Texas,Annual,All,10,2,2,6,0,35772,0,84923,52935,31988,62.33 [49-73.13],51.53 [39.68-64.31]
357,2024-2025,MSO only,UT,Utah,Annual,All,1,1,0,0,0,12,0,26,[R],[R],[R],[R]
358,2024-2025,MSO only,VA,Virginia,Annual,All,10,9,0,1,0,513,0,755,406,349,53.77 [50.39-74.82],55.41 [39.03-72.94]
359,2024-2025,MSO only,VT,Vermont,Annual,All,3,2,1,0,0,286,0,493,[R],[R],[R],[R]
360,2024-2025,MSO only,WA,Washington,Annual,All,3,1,0,2,0,12506,0,20326,[R],[R],[R],[R]
361,2024-2025,MSO only,WI,Wisconsin,Annual,All,0,0,0,0,NULL,0,NULL,NULL,[R],[R],[R],[R]
362,2024-2025,MSO only,WV,West Virginia,Annual,All,8,7,0,1,0,486,0,723,[R],[R],[R],[R]
363,2024-2025,MSO only,WY,Wyoming,Annual,All,2,0,1,1,0,1540,0,4136,[R],[R],[R],[R]
364,2024-2025,MSO only,MSO,MultiStates,Annual,All,57,32,7,18,0,86339,0,198592,114013,84579,57.41 [48.87-63.82],50.98 [44.41-57.71]
365,2024-2025,MSO only,AK,Alaska,Summer,All,0,0,0,0,NULL,0,NULL,NULL,[R],[R],[R],[R]
366,2024-2025,MSO only,AL,Alabama,Summer,All,4,3,0,1,0,8020,0,15949,[R],[R],[R],[R]
367,2024-2025,MSO only,AR,Arkansas,Summer,All,0,0,0,0,NULL,0,NULL,NULL,[R],[R],[R],[R]
368,2024-2025,MSO only,AZ,Arizona,Summer,All,1,1,0,0,0,12,0,24,[R],[R],[R],[R]
369,2024-2025,MSO only,CA,California,Summer,All,21,2,4,15,0,86442,0,185648,54866,130782,29.55 [18.54-39.2],24.2 [16.47-31.56]
370,2024-2025,MSO only,CO,Colorado,Summer,All,3,1,1,1,0,1086,0,1470,[R],[R],[R],[R]
371,2024-2025,MSO only,CT,Connecticut,Summer,All,3,3,0,0,0,19,0,26,[R],[R],[R],[R]
372,2024-2025,MSO only,DC,District of Columbia,Summer,All,3,3,0,0,0,51,0,67,[R],[R],[R],[R]
373,2024-2025,MSO only,DE,Delaware,Summer,All,1,0,0,1,0,436,0,561,[R],[R],[R],[R]
374,2024-2025,MSO only,FL,Florida,Summer,All,3,1,0,2,0,9307,0,18207,[R],[R],[R],[R]
375,2024-2025,MSO only,GA,Georgia,Summer,All,4,3,0,1,0,8018,0,15949,[R],[R],[R],[R]
376,2024-2025,MSO only,IA,Iowa,Summer,All,1,0,0,1,0,1877,0,9256,[R],[R],[R],[R]
377,2024-2025,MSO only,ID,Idaho,Summer,All,3,0,0,3,0,23700,0,51534,[R],[R],[R],[R]
378,2024-2025,MSO only,IL,Illinois,Summer,All,0,0,0,0,NULL,0,NULL,NULL,[R],[R],[R],[R]
379,2024-2025,MSO only,IN,Indiana,Summer,All,0,0,0,0,NULL,0,NULL,NULL,[R],[R],[R],[R]
380,2024-2025,MSO only,KS,Kansas,Summer,All,2,1,0,1,0,2336,0,2194,[R],[R],[R],[R]
381,2024-2025,MSO only,KY,Kentucky,Summer,All,2,2,0,0,0,10,0,17,[R],[R],[R],[R]
382,2024-2025,MSO only,LA,Louisiana,Summer,All,0,0,0,0,NULL,0,NULL,NULL,[R],[R],[R],[R]
383,2024-2025,MSO only,MA,Massachusetts,Summer,All,2,1,0,1,0,733,0,1084,[R],[R],[R],[R]
384,2024-2025,MSO only,MD,Maryland,Summer,All,5,4,0,1,0,503,0,654,[R],[R],[R],[R]
385,2024-2025,MSO only,ME,Maine,Summer,All,4,2,1,1,0,832,0,1223,[R],[R],[R],[R]
386,2024-2025,MSO only,MI,Michigan,Summer,All,7,5,1,1,0,8212,0,16171,[R],[R],[R],[R]
387,2024-2025,MSO only,MN,Minnesota,Summer,All,3,1,1,1,0,1439,0,2540,[R],[R],[R],[R]
388,2024-2025,MSO only,MO,Missouri,Summer,All,2,1,0,1,0,2336,0,2194,[R],[R],[R],[R]
389,2024-2025,MSO only,MS,Mississippi,Summer,All,4,0,0,4,0,16950,0,32070,[R],[R],[R],[R]
390,2024-2025,MSO only,MT,Montana,Summer,All,2,0,0,2,0,12304,0,20664,[R],[R],[R],[R]
391,2024-2025,MSO only,NC,North Carolina,Summer,All,2,2,0,0,0,15,0,15,[R],[R],[R],[R]
392,2024-2025,MSO only,NCUSA,Non Continental USA,Summer,All,1,1,0,0,0,2,0,4,[R],[R],[R],[R]
393,2024-2025,MSO only,ND,North Dakota,Summer,All,11,0,1,10,0,66207,0,142340,42648,99692,29.96 [16.44-41.32],20.83 [11.75-31.35]
394,2024-2025,MSO only,NE,Nebraska,Summer,All,1,0,0,1,0,1877,0,9256,[R],[R],[R],[R]
395,2024-2025,MSO only,NH,New Hampshire,Summer,All,2,0,1,1,0,796,0,1179,[R],[R],[R],[R]
396,2024-2025,MSO only,NJ,New Jersey,Summer,All,1,1,0,0,0,25,0,25,[R],[R],[R],[R]
397,2024-2025,MSO only,NM,New Mexico,Summer,All,1,1,0,0,0,2,0,4,[R],[R],[R],[R]
398,2024-2025,MSO only,NV,Nevada,Summer,All,0,0,0,0,NULL,0,NULL,NULL,[R],[R],[R],[R]
399,2024-2025,MSO only,NY,New York,Summer,All,5,3,1,1,0,8288,0,16396,[R],[R],[R],[R]
400,2024-2025,MSO only,OH,Ohio,Summer,All,3,3,0,0,0,29,0,35,[R],[R],[R],[R]
401,2024-2025,MSO only,OK,Oklahoma,Summer,All,0,0,0,0,NULL,0,NULL,NULL,[R],[R],[R],[R]
402,2024-2025,MSO only,OR,Oregon,Summer,All,3,1,1,1,0,9196,0,20955,[R],[R],[R],[R]
403,2024-2025,MSO only,PA,Pennsylvania,Summer,All,2,2,0,0,0,18,0,29,[R],[R],[R],[R]
404,2024-2025,MSO only,RI,Rhode Island,Summer,All,1,0,0,1,0,723,0,1070,[R],[R],[R],[R]
405,2024-2025,MSO only,SC,South Carolina,Summer,All,0,0,0,0,NULL,0,NULL,NULL,[R],[R],[R],[R]
406,2024-2025,MSO only,SD,South Dakota,Summer,All,6,0,0,6,0,33865,0,77091,[R],[R],[R],[R]
407,2024-2025,MSO only,TN,Tennessee,Summer,All,0,0,0,0,NULL,0,NULL,NULL,[R],[R],[R],[R]
408,2024-2025,MSO only,TX,Texas,Summer,All,11,3,2,6,0,35782,0,84421,25116,59305,29.75 [16.25-43.99],30.36 [14.72-48.33]
409,2024-2025,MSO only,UT,Utah,Summer,All,1,1,0,0,0,12,0,24,[R],[R],[R],[R]
410,2024-2025,MSO only,VA,Virginia,Summer,All,10,9,0,1,0,513,0,672,51,621,7.59 [5.51-23.81],13.73 [4.86-23.96]
411,2024-2025,MSO only,VT,Vermont,Summer,All,3,2,1,0,0,286,0,489,[R],[R],[R],[R]
412,2024-2025,MSO only,WA,Washington,Summer,All,4,1,0,3,0,18310,0,28569,[R],[R],[R],[R]
413,2024-2025,MSO only,WI,Wisconsin,Summer,All,0,0,0,0,NULL,0,NULL,NULL,[R],[R],[R],[R]
414,2024-2025,MSO only,WV,West Virginia,Summer,All,8,7,0,1,0,486,0,644,[R],[R],[R],[R]
415,2024-2025,MSO only,WY,Wyoming,Summer,All,2,0,1,1,0,1540,0,3560,[R],[R],[R],[R]
416,2024-2025,MSO only,MSO,MultiStates,Summer,All,60,33,7,20,0,93113,0,195317,57700,137617,29.54 [20.11-39.46],22.2 [17.23-27.53]
417,2024-2025,MSO only,AK,Alaska,Winter,All,0,0,0,0,NULL,0,NULL,NULL,[R],[R],[R],[R]
418,2024-2025,MSO only,AL,Alabama,Winter,All,4,3,0,1,0,14033,0,14052,[R],[R],[R],[R]
419,2024-2025,MSO only,AR,Arkansas,Winter,All,0,0,0,0,NULL,0,NULL,NULL,[R],[R],[R],[R]
420,2024-2025,MSO only,AZ,Arizona,Winter,All,2,2,0,0,0,16,0,18,[R],[R],[R],[R]
421,2024-2025,MSO only,CA,California,Winter,All,29,3,5,21,0,161389,0,180010,75236,104774,41.8 [32.79-50.27],34.55 [27.64-42.07]
422,2024-2025,MSO only,CO,Colorado,Winter,All,2,1,1,0,0,125,0,125,[R],[R],[R],[R]
423,2024-2025,MSO only,CT,Connecticut,Winter,All,4,3,0,1,0,4517,0,4949,[R],[R],[R],[R]
424,2024-2025,MSO only,DC,District of Columbia,Winter,All,4,3,1,0,0,129,0,141,[R],[R],[R],[R]
425,2024-2025,MSO only,DE,Delaware,Winter,All,1,0,0,1,0,525,0,600,[R],[R],[R],[R]
