id,observed_on,species_common,species_scientific,latitude,longitude,place_guess,quality_grade,native,introduced,threatened
338623002,2026-02-03,All-dark Miner,Andrena perimelas,32.6734700902,-117.244847501,"Point Loma, San Diego, CA, USA",research,False,False,False
338614522,2026-02-03,Western Honey Bee,Apis mellifera,32.6733659016,-117.24478326,"Point Loma, San Diego, CA, USA",research,False,True,False
338614520,2026-02-03,Western Honey Bee,Apis mellifera,32.6734282747,-117.244780577,"Point Loma, San Diego, CA, USA",research,False,True,False
338611270,2026-02-14,Valley Carpenter Bee,Xylocopa sonorina,33.9237033333,-118.41713,"Richmond St, El Segundo, CA, US",research,True,False,False
338606851,2026-02-14,Yellow-faced Bumble Bee,Bombus vosnesenskii,32.9447166667,-117.118125,"Los Peñasquitos Canyon Preserve, San Diego, CA, US",research,True,False,False
338606755,2026-02-14,Yellow-faced Bumble Bee,Bombus vosnesenskii,32.9447166667,-117.118141667,"Los Peñasquitos Canyon Preserve, San Diego, CA, US",research,True,False,False
338606694,2026-02-14,Yellow-faced Bumble Bee,Bombus vosnesenskii,32.944595,-117.11805,"Los Peñasquitos Canyon Preserve, San Diego, CA, US",research,True,False,False
338604138,2026-02-13,Western Honey Bee,Apis mellifera,34.1356320333,-117.907155007,"Azusa, CA, USA",research,False,True,False
338602709,2026-02-14,Western Honey Bee,Apis mellifera,33.683155,-116.666305,"San Bernardino National Forest, Mountain Center, CA, US",research,False,True,False
338602197,2026-02-13,Western Honey Bee,Apis mellifera,34.1357846647,-117.906629965,"Azusa, CA, USA",research,False,True,False
338597700,2026-02-12,Black-tailed Bumble Bee,Bombus melanopygus,32.9116100588,-117.050202384,"San Diego, CA, US",research,True,False,False
338593601,2026-02-14,Western Honey Bee,Apis mellifera,32.9030323897,-117.157805977,"Jade Coast Rd, San Diego, CA, US",research,False,True,False
338587036,2026-02-14,Western Honey Bee,Apis mellifera,33.8283355,-116.5212072,"Palm Springs, CA 92262, USA",research,False,True,False
338580643,2026-02-13,Western Honey Bee,Apis mellifera,33.5302186564,-117.708442329,"Laguna Niguel, CA, USA",research,False,True,False
338577434,2026-02-14,Western Honey Bee,Apis mellifera,32.9169826718,-116.220528334,"Anza-Borrego Desert, San Diego County, US-CA, US",research,False,True,False
338558989,2026-02-06,Tansy Mustard Sweat Bee,Lasioglossum sisymbrii,33.5920633333,-115.96768,"Box Canyon Rd, Mecca, CA, US",research,True,False,False
338526204,2026-02-13,Western Honey Bee,Apis mellifera,34.0993583333,-118.705995,"Malibu Creek State Park, Calabasas, CA, US",research,False,True,False
338509753,2026-02-13,Yellow-faced Bumble Bee,Bombus vosnesenskii,34.1917163322,-118.048202951,"Los Angeles County, CA, USA",research,True,False,False
338508411,2026-02-12,Cherry Plum Mining Bee,Andrena cerasifolii,34.1473528333,-118.009422217,"W Lemon Ave, Monrovia, CA, US",research,True,False,False
